X,ground_data_tree_id,RED,GREEN,BLUE,aerial_data_tree_id,stem_id,species,stem_diameter,agb,score,aerial_data_height,area,UTM_2018_X,UTM_2018_Y,left,bottom,right,top,tree_status,census_codes,adbin,gdbin,log_agb
0,36,126.0053613053613,153.30139860139866,106.31351981351987,1095fc3f-30bb-434d-a865-3b927ca7c674,36,libe,43,4201.87181759164,0.690538763999939,27.5030001,42.89999999984866,747415.8,4308565.6,747412.6,4308560.7,747419.2,4308567.2,A,M,5,5,8.34328537584485
1,39,91.49253731343288,117.48531535869049,88.30524795377958,4396945b-13dd-46ce-8ac7-c011562393b5,39,libe,50,2677.3251414750325,0.6975986361503601,15.4753998,41.54000000084284,747404.5,4308594.4,747402.0,4308593.3,747408.2,4308600.0,A,M,5,5,7.89257349355069
2,45,115.39314516129028,135.69758064516125,117.43245967741952,b860a596-3c00-4ee8-a16c-219a78cc9c46,45,libe,20,170.966218186423,0.2689471542835236,22.5213009,9.92000000164378,747411.8,4308578.5,747411.4,4308576.3,747414.6,4308579.4,A,J;M,2,2,5.14146598252084
3,63,110.80456589415412,130.41231407817358,107.0605326876511,4dd86d76-84f2-4d41-9d89-2ec51a9b56ff,63,libe,22,1027.2732661728653,0.7074941992759705,15.6377003,28.91000000174157,747405.6,4308586.8,747399.8,4308583.6,747405.7,4308588.5,G,DS,4,4,6.93466325649498
4,87,86.6483082706767,113.4804511278195,93.0941729323307,113d7769-a388-4292-b955-61067e8ebae7,87,libe,39,1217.250689005378,0.4874545335769653,26.9044997,53.1999999973923,747437.9,4308568.6,747433.3,4308562.4,747440.3,4308570.0,D,F;DS;R,5,5,7.10435006109705
5,125,84.87743330930081,112.0696947849078,94.43979812545064,e934df68-d197-497c-97f3-98591bb65f52,125,amar,50,2524.185313541244,0.3422483801841736,30.7308002,41.60999999859836,747459.6,4308566.0,747456.0,4308559.2,747461.7,4308566.5,A,F;M;L,5,5,7.83367364154488
6,129,84.01490290531376,103.81288574439276,85.5995785036881,b192601a-7c3e-49d5-88a8-c0c7f02a888a,31319,libe,24,2413.59082618078,0.4554468393325806,29.5133994,66.42999999813503,747476.3,4308508.9,747475.8,4308504.2,747484.9,4308511.5,A,S,5,5,7.78887088695131
7,140,110.29598662207364,135.0522575250837,103.94147157190608,a6a8ed23-e782-440f-a974-fbdcaf113f1d,140,caca,36,911.623637101722,0.4428660273551941,31.7282002,23.9200000013411,747473.2,4308956.8,747468.7,4308951.8,747473.3,4308957.0,A,M,4,4,6.81522722628254
8,165,96.60222222222221,122.16603174603188,97.98476190476192,da5752f3-088a-4847-89ad-840918ea1419,31355,havi,47,4387.040278546141,0.3984672427177429,35.4751986,31.50000000372529,747510.2,4308589.4,747509.7,4308586.1,747514.7,4308592.4,A,F;M,5,5,8.38641008246579
9,171,92.08568738229773,119.4133709981168,95.03578154425612,df65134b-dbfb-4e49-906f-7e3f69b1f8cd,171,havi,31,1294.9344407527035,0.4547943472862244,33.7271,31.86000000214903,747507.2,4308632.6,747506.0,4308628.3,747511.4,4308634.2,A,F;M,5,5,7.16621534795077
10,190,83.35348047538194,103.62252405206593,88.75291454442545,201f667b-9a9b-4b8b-9785-b5d1d360ae34,190,ceca,57,5214.869017957049,0.5893106460571289,35.322101,88.34999999823049,747538.6,4308533.6,747533.9,4308533.4,747543.4,4308542.7,A,F;M,5,5,8.5592692507162
11,195,100.2321428571428,123.92887931034473,100.6148399014778,e649886e-2001-4fd7-8648-f07dbee7d5fa,195,caca,44,1234.68764751031,0.3689938187599182,35.7845015,32.48000000350177,747541.4,4308586.0,747538.0,4308581.3,747543.8,4308586.9,A,F;M,5,5,7.11857330007748
12,203,96.83116883116874,124.3438311688312,93.85551948051949,95a2fe2f-c635-4468-8abf-d9190fef75eb,203,caca,46,2354.164536443097,0.7633497714996338,30.8654994,30.79999999987194,747526.3,4308797.4,747524.9,4308794.9,747530.5,4308800.4,A,M,5,5,7.76394118191245
13,207,109.08926759991895,133.52485291134093,100.57760194765658,bf833716-5c14-460c-8690-a8e88f2df7c9,207,havi,42,4972.272770174149,0.5925120115280151,30.8007993,98.57999999702908,747518.5,4308829.6,747514.6,4308824.2,747523.9,4308834.8,A,M,5,5,8.51163231238365
14,237,97.37318840579704,122.12719979296092,97.99197722567263,7a5d7404-39db-4b2e-a0ff-c351cc97aac9,31427,litu,51,1700.49842506834,0.5907272100448608,38.6311009,77.27999999395571,747556.6,4308647.6,747554.1,4308644.4,747562.5,4308653.6,A,F;M,5,5,7.43867667828883
15,259,92.66180371352785,107.74137931034493,106.3315649867374,85bc27ae-664c-493b-8f90-50e08c6dc50c,58354,libe,19,150.544866016633,0.2821736633777618,20.1499995,7.53999999847962,747572.4,4308519.3,747570.6,4308516.9,747573.2,4308519.8,A,F;M;J,2,2,5.01426115282939
16,318,102.50320512820502,124.33333333333354,98.93660968660963,232fb06b-7c42-4302-998a-7edf2cfc5f2e,318,libe,25,835.309368715315,0.4711166620254517,40.2179997,28.0800000011269,747579.1,4308634.9,747575.6,4308632.6,747581.0,4308637.8,A,F;M,4,4,6.72780215768761
17,319,98.5540540540541,124.66891891891908,98.35675675675665,eee953e1-ccb2-41fa-8dfa-5b15dd871a9c,319,libe,26,327.705835946135,0.5274181365966797,38.5560005,14.79999999981374,747582.2,4308637.5,747581.3,4308634.2,747585.0,4308638.2,A,F;M,3,3,5.79211636435344
18,369,93.80566801619429,125.0094466936572,95.61066126855592,78f85592-3b84-4b8d-bc64-39b1e8829471,369,libe,25,447.87733538841,0.5207752585411072,21.3665006,14.81999999936204,747599.5,4308555.4,747597.2,4308552.3,747601.1,4308556.1,A,F;M,3,3,6.10451938998698
19,380,123.44635627530371,150.60863697705807,113.62246963562752,ac6f5b73-1522-4ee0-a1ac-b450e925fa97,380,libe,23,483.579563242976,0.2551575303077698,33.9575999,29.64000000136672,747590.5,4308571.0,747590.1,4308566.7,747595.3,4308572.4,A,F;M;L,4,4,6.18121585821777
20,410,113.65815240527895,135.78991060025515,106.44018731375044,dd1800e8-c2ae-4646-b476-2d0769cd3ae7,410,havi,62,2908.41703670982,0.3980362117290497,37.835899,46.97999999835621,747598.5,4308807.0,747594.1,4308804.2,747602.2,4308810.0,A,M,5,5,7.97536423851896
21,432,116.80444444444441,142.14349206349215,105.67873015873012,1d8362c7-60e9-4970-a9fb-8fe82eba6d0c,36683,libe,18,1552.580720573212,0.2586607038974762,32.774601,31.49999999965076,747608.6,4308513.6,747608.0,4308507.2,747612.2,4308514.7,A,F;S,5,5,7.34767380638399
22,434,91.60308677926605,117.11473500291181,94.21723937099584,7ed77fd4-d712-4f82-8139-c4f028bb2358,434,saal,73,4239.86631330435,0.3581293225288391,35.5509993,103.02000000522938,747613.3,4308524.7,747612.0,4308523.8,747622.2,4308533.9,A,F;M,5,5,8.35228701784788
23,467,87.3695652173914,112.59893522626408,90.93300798580286,cf6a0010-f097-4840-a74d-6c43999e9cdc,467,libe,31,866.7597588991259,0.4460521340370178,38.7271994,22.5399999978859,747621.9,4308590.7,747619.2,4308588.4,747623.8,4308593.3,A,F;M,4,4,6.76476184368736
24,508,99.31799516908217,126.27584541062768,93.19359903381648,3cc1e31e-448b-4db0-a05f-da8eb0125690,31692,havi,63,3285.0544371124392,0.6664013862609863,34.6860001,82.80000000167638,747615.6,4308804.2,747609.8,4308798.7,747618.8,4308807.9,A,M,5,5,8.09713850220072
25,510,131.4282081377152,156.33294209702737,105.59096244131416,d28a75d1-c6a0-4456-a1ba-d59a405da49c,510,vipr,57,4203.3760969962805,0.5637691020965576,32.2800015,51.12000000199303,747616.6,4308846.9,747614.2,4308846.8,747621.3,4308854.0,A,M,5,5,8.34364331398921
26,620,119.6666666666666,141.78779395296874,114.90630832400156,853728de-22ea-40ed-a6a4-c1553991b92c,31804,caca,61,3717.65554017902,0.7148708701133728,38.4380989,107.1600000033714,747649.2,4308682.3,747648.3,4308676.1,747659.7,4308685.5,A,F;M,5,5,8.2208485174534
27,623,102.09100529100526,123.79682539682533,103.00476190476208,9cca2009-cc93-4ee8-bae3-761a780fba51,623,libe,31,1019.6539743548674,0.457830011844635,40.4810015,18.90000000031432,747644.0,4308726.8,747643.7,4308725.9,747647.9,4308730.4,A,F;M,4,4,6.92721860789457
28,630,112.6691125087352,135.43011879804308,108.4884696016772,455b7b0c-4a45-4f47-9af5-a26888b778a8,630,libe,17,481.3511717702551,0.4862968623638153,41.836801,28.61999999911757,747658.8,4308713.4,747654.0,4308712.7,747659.4,4308718.0,A,F;M,4,4,6.17659709056246
29,665,110.37863100373885,135.8480730514821,104.24316939890696,0c3b7772-81e7-4df3-af51-3780332bcab9,665,libe,42,1864.1058758421705,0.4701110422611237,36.6508007,139.08000000534113,747677.6,4308540.4,747666.6,4308531.3,747678.8,4308542.7,A,J;M;L,5,5,7.53053679397697
30,678,109.14802950883332,135.4192389827219,104.04542807221895,8915ae1c-96de-4148-bae1-c4ca8aad6da1,31861,libe,17,5215.553679774629,0.6656822562217712,30.5827999,103.02000000164378,747674.1,4308559.9,747673.1,4308557.1,747683.2,4308567.3,A,S,5,5,8.55940053241751
31,751,95.55127153404419,121.48974569319128,92.79327317473344,826b51fa-839a-45b4-a3ca-b11591ef65dc,751,libe,31,748.69118087711,0.2255273759365082,35.9595985,24.3799999982398,747695.3,4308570.7,747695.0,4308569.2,747700.3,4308573.8,A,J;M,4,4,6.61832658991938
32,792,111.67671451355646,137.62982456140335,107.13110047846877,ba20c071-d50f-4e00-81ac-121bbca04369,792,libe,35,2403.489535408105,0.5206136703491211,34.9159988,125.40000000025611,747714.6,4308537.5,747710.0,4308531.6,747721.4,4308542.6,A,M,5,5,7.78467693342735
33,821,119.0232909860858,144.3859649122806,106.26043557168788,893b8227-6082-4506-8a78-d0ce0e3a8719,821,libe,43,1733.0615270431665,0.3703906238079071,31.132,33.05999999866821,747710.3,4308562.0,747708.8,4308561.8,747714.5,4308567.6,A,M,5,5,7.45764479228398
34,826,114.69836253950008,134.50474001723651,112.84314852053993,c5be0f58-a143-4819-b678-1a63d1eaa423,826,libe,34,1456.8721909429792,0.3769635558128357,40.7159992,34.80999999615364,747712.3,4308737.1,747708.3,4308733.2,747714.2,4308739.1,A,M,5,5,7.2840470816495
35,850,99.40287581699354,122.82862745098052,96.0887581699345,c5a55f8f-c1ae-4f76-8288-788370cb152a,850,libe,46,2106.228949895718,0.6137852668762207,36.5619995,76.5,747741.5,4308518.3,747739.4,4308518.3,747748.4,4308526.8,A,M,5,5,7.65265439993594
36,865,101.29278074866308,129.1541889483063,89.6853832442068,eab19d67-718f-46f5-8efd-dbe9099ba9c0,865,libe,26,728.0648944926311,0.3211129307746887,29.5156004,22.43999999704771,747726.9,4308570.3,747723.8,4308569.2,747728.9,4308573.6,A,L;M,4,4,6.59039018501046
