ground_data_tree_id,aerial_data_tree_id,stem_id,species,stem_diameter,agb,score,aerial_data_height,area,UTM_2018_X,UTM_2018_Y,left,bottom,right,top,tree_status,census_codes,adbin,gdbin
10538,dfb21a93-c6f9-451e-a6eb-43ffc11b2344,10538,qual,504.0,306766.400599799,0.6842259168624878,31.9720003,45.5,747561.2,4308569.3,747560.2,4308562.6,747566.7,4308569.6,A,F,5,5
26608,341148b1-d851-4898-8e10-733a26aafd5f,26608,litu,763.0,979042.098106439,0.6830623149871826,40.621199,93.12000000156227,747735.7,4308716.0,747734.4,4308709.3,747744.0,4308719.0,A,main,5,5
1684,2e6f82ae-17cf-4757-a51a-bb113eb459d6,1684,amar,102.0,9727.23200092607,0.6827753782272339,33.6471009,24.379999999019784,747393.5,4308820.8,747391.1,4308819.3,747395.7,4308824.6,A,main,4,4
4505,543df418-db7c-40cf-9bfc-e616941ae63c,4505,litu,637.0,640704.221780315,0.6825968027114868,37.7600006,80.51000000199768,747434.2,4308981.3,747428.2,4308971.7,747436.5,4308981.4,A,main,5,5
19270,0e8890b2-5169-4a1a-b994-c5ca7073082b,19270,litu,723.0,862704.305011306,0.682515025138855,35.9455999,130.38000000761124,747653.7,4308565.7,747650.0,4308558.1,747660.6,4308570.4,A,main,5,5
23688,a21532a0-a1a7-47a0-8d4e-42b590869635,23688,astr,56.0,2284.84144048116,0.6821905970573425,28.7147996,21.620000000747385,747693.5,4308925.6,747690.5,4308924.1,747695.1,4308928.8,A,main,4,4
23691,a21532a0-a1a7-47a0-8d4e-42b590869635,23691,astr,56.0,2284.84144048116,0.6821905970573425,28.7147996,21.620000000747385,747694.1,4308927.0,747690.5,4308924.1,747695.1,4308928.8,A,main,4,4
11351,9a102c5e-f27a-479a-9bfe-d216889a05f3,11351,litu,641.0,650195.809120945,0.6816626191139221,35.1619998,92.69999999832362,747550.3,4308919.6,747545.6,4308909.4,747554.6,4308919.7,A,main,5,5
21684,10a7c0c1-92fa-4425-b96e-bbde45f1010e,21684,caco,608.0,578663.714582395,0.6814981698989868,37.0870991,48.91000000089174,747677.7,4308762.4,747675.4,4308760.7,747682.7,4308767.4,A,main,5,5
2913,57174785-1768-4a46-8a77-2943ef42d98e,2913,astr,39.0,954.136404632548,0.6807227730751038,30.9950002,11.19999999983702,747416.6,4308745.9,747414.4,4308744.2,747417.6,4308747.7,A,main,3,3
3291,5e74c226-0e8f-4d6d-bde3-ac591acef2d5,40605,havi,30.0,969.252572029586,0.6799370050430298,27.9184993,17.199999999254942,747412.5,4308977.0,747409.2,4308976.7,747413.2,4308981.0,A,M,3,3
